pertSize,reactionTime,initialResponse
100,2.51100433933607,-1
25,2.91299918806908,-1
-50,2.44799714124383,1
-200,2.27499964177696,1
150,1.64099744427222,-1
300,0.722002159956901,-1
-25,3.66400656521728,1
0,5.11700147843658,1
-300,1.36800394392048,1
50,5.30199867844931,-1
-100,2.69000033664634,1
0,3.90800320720882,1
200,1.71400106787769,-1
-150,2.27000288164709,1
-100,2.32800287198916,1
-25,3.98200308239757,1
50,5.95300550377578,1
200,3.32200400566944,-1
-150,6.04000097358221,1
-300,2.35799800312816,1
25,7.19100210428587,1
0,7.07400428951223,1
300,1.62699739539676,-1
-50,3.54099978101294,1
100,5.17199872231868,-1
0,3.43700642263866,1
-200,1.29300170374336,1
150,3.09200603402132,-1
100,5.40300094163831,-1
