pertSize,reactionTime,initialResponse
100,2.83499171900621,-1
25,5.35799715793109,1
-50,2.85999538862234,1
-200,2.16399144339084,1
150,5.08799678420473,1
300,2.11799578225327,-1
-25,4.20399208581512,-1
0,6.76099870276084,1
-300,1.55699595725309,1
50,3.14199369740527,-1
-100,2.65699343967572,1
0,6.11999644970638,1
200,1.50999740922271,-1
-150,1.96699533927313,1
-100,3.18099401986547,1
-25,4.08199669420719,-1
50,5.13999827253429,-1
200,3.03899686694058,-1
-150,2.69399685728422,1
-300,2.46299362754507,1
25,3.320992810608,1
0,5.15999646043201,1
300,0.933994228602387,-1
-50,3.31999615800305,1
100,3.12099591779406,1
0,3.77599217509851,-1
-200,2.8869917043412,1
150,4.09599402689491,-1
100,5.21499771737581,-1
