pertSize,reactionTime,initialResponse
100,4.07199620330357,-1
25,4.85899753916601,1
-50,4.9619969534906,-1
-200,4.31999244344479,-1
150,3.96400009190984,1
300,2.61499911869032,1
-25,4.80000044894405,-1
0,4.43999993825128,-1
-300,2.93499285984581,1
50,5.34399189364922,-1
-100,5.36499120426743,1
0,4.17199444413563,-1
200,2.86700109398953,1
-150,1.88799348437897,-1
-100,3.62399301362166,-1
-25,4.91300051283906,1
50,4.1779928002361,-1
200,4.78699125659477,-1
-150,4.23899701297341,-1
-300,4.68599696410092,-1
25,4.96999189484632,1
0,4.02499874163186,-1
300,5.04499525332358,1
-50,5.82099823463068,-1
100,4.3329962179705,-1
0,4.97999408006581,1
-200,3.17299115097558,-1
150,2.86800094592763,1
100,4.42899168110307,-1
