pertSize,reactionTime,initialResponse
-150,4.16700535058771,1
200,0.891006575700885,-1
0,3.75200186383881,-1
-100,5.22100021719962,1
50,5.48100557625003,-1
-300,3.07099980831117,1
0,6.25300639092893,1
-25,4.10100765251991,1
300,1.24300592386862,-1
150,4.19300075650244,-1
-200,1.88099959337706,1
-50,4.56200719701883,-1
25,3.23199962878425,1
100,3.94799977052025,-1
150,3.66400278615765,-1
-200,2.73100110935775,1
0,5.61800178301201,-1
100,4.46800139987317,-1
-50,6.00200564539409,1
300,1.0319989362979,-1
0,5.74599977111939,1
25,3.63100414836663,-1
-300,2.53000180792878,1
-150,1.28000509965204,-1
200,3.69700472211844,-1
50,3.62900601172441,-1
-25,2.47200721442641,1
-100,2.59200063288154,-1
-150,3.70499966669013,1
