pertSize,reactionTime,initialResponse
-150,2.79300249349762,1
200,1.26499409341341,-1
0,6.48800145530549,-1
-100,4.84499573433277,1
50,6.00999760770355,-1
-300,1.48700160860608,1
0,5.51800177979021,1
-25,8.84099883603631,-1
300,1.33399972689222,-1
150,2.85000367104658,-1
-200,1.97000359833328,1
-50,6.38300066506781,1
25,7.42099645709823,1
100,5.72999839425029,-1
150,4.75099710500217,-1
-200,1.9510018333167,-1
0,7.39999806964624,1
100,2.69700380849827,-1
-50,7.51800245130289,1
300,1.28000043952488,-1
0,7.74200276422198,-1
25,8.99300377356849,1
-300,1.25400213670946,1
-150,3.69899927770894,1
200,2.59299413835834,-1
50,7.15100165652984,1
-25,9.05499758171936,1
-100,3.3559948089096,1
-150,3.72999931299273,1
