pertSize,reactionTime,initialResponse
100,2.69200233161246,-1
25,1.82400191831402,1
-50,2.91099552106607,-1
-200,2.46300235592935,-1
150,1.31999916684435,-1
300,2.11199869609118,-1
-25,4.05899812793359,1
0,3.18700340497162,1
-300,1.71400138127501,1
50,2.39999811160669,-1
-100,1.7819956786625,1
0,3.32299982463883,-1
200,1.72200346183672,-1
-150,1.82799464619166,1
-100,4.18199373746029,1
-25,5.11699746859085,-1
50,3.2519949550624,-1
200,2.19099401056883,-1
-150,0.89399600863544,1
-300,1.64599868225923,1
25,4.59399691366707,-1
0,3.79799518501386,-1
300,1.16600152301544,-1
-50,1.46099688542017,1
100,1.86499367320357,-1
0,2.9570013966586,1
-200,1.688997549536,1
150,1.21299899959558,-1
100,2.95999886941718,-1
