pertSize,reactionTime,initialResponse
-150,5.59600369464897,1
200,3.64300680136512,-1
0,7.13100793051126,1
-100,4.26900059282343,1
50,6.96400308918965,-1
-300,4.24500817000808,1
0,7.39200654649176,1
-25,7.07500042748143,-1
300,3.53400581383175,-1
150,3.6830039120905,-1
-200,3.02500706505089,1
-50,5.06800746607769,1
25,6.97900545573066,1
100,6.11100418960996,-1
150,4.79200352894986,-1
-200,3.73900925028283,1
0,6.84600217330444,-1
100,5.31100354981027,-1
-50,7.98100924944447,-1
300,2.67200234413031,-1
0,6.56300062811351,-1
25,7.0129992870061,-1
-300,2.79600576376833,1
-150,3.89600248848728,1
200,3.64400111162104,-1
50,6.47000355052296,-1
-25,6.80100177073473,1
-100,6.15200084519165,1
-150,4.90000397574477,1
