pertSize,reactionTime,initialResponse
100,4.42000060069404,-1
25,7.22500455748377,1
-50,5.61800706505164,1
-200,3.9730053707317,1
150,3.54200689649588,-1
300,3.65000268637959,-1
-25,5.18299911748909,1
0,7.26900125646353,1
-300,2.91199956774653,1
50,7.92399921405013,1
-100,5.11100494169659,1
0,6.8919998037818,-1
200,3.75900737166376,-1
-150,4.0169995665492,1
-100,5.08900153732247,1
-25,7.17600421869429,-1
50,7.73200649642968,-1
200,3.51100293803029,-1
-150,3.93500430262065,1
-300,2.76300096917112,1
25,7.49900401425111,1
0,7.57800182521169,-1
300,2.68300420451124,-1
-50,6.86100472187536,1
100,4.77400797366863,-1
0,6.6799999099967,1
-200,2.90200256049138,1
150,3.44600748502853,-1
100,4.75600003802538,-1
