pertSize,reactionTime,initialResponse
100,2.12599506592233,-1
25,4.39400088536786,-1
-50,4.1630022555546,1
-200,1.33200053178734,1
150,2.39899460756715,-1
300,0.762998175378016,-1
-25,3.86899983989861,1
0,7.23899724721559,1
-300,1.38699772810651,1
50,2.1620029007172,-1
-100,3.31199909424322,1
0,7.17899955975736,1
200,0.854995786903601,-1
-150,2.40099936664046,1
-100,4.0170026184278,1
-25,7.80299952399218,-1
50,6.63299634825671,-1
200,0.886004128456989,-1
-150,3.09799797296,1
-300,1.92099948048417,1
25,4.25199965023785,-1
0,8.01099730563146,1
300,0.482995846745325,-1
-50,2.57800217354088,1
100,0.760003086805227,-1
0,4.87999706518167,1
-200,1.59899454534025,1
150,0.74299555671314,-1
100,1.60299491214391,-1
