pertSize,reactionTime,initialResponse
100,8.29500711727451,-1
25,0.591004561661975,1
-50,3.10300354218634,1
-200,4.22899754298123,-1
150,2.65100022220577,-1
300,3.6530046155458,-1
-25,4.77000616443547,1
0,4.02100316596625,-1
-300,2.63100313878385,1
50,4.7159976069961,-1
-100,4.56800237036077,1
0,4.88000233829371,-1
200,2.84999745822279,-1
-150,3.63700018370582,1
-100,5.04400612437894,1
-25,6.29300506567961,-1
50,6.20299976587557,-1
200,4.33000391745736,-1
-150,3.52000424838479,1
-300,4.82100546861329,1
25,5.82100094736234,-1
0,6.16900211644679,1
300,6.80600216078892,-1
-50,7.16000006354443,1
100,5.85200248420733,-1
0,6.80100041640253,1
-200,3.45300556588336,1
150,5.47400043845118,-1
100,2.96000306022324,-1
