pertSize,reactionTime,initialResponse
-150,1.92700023627549,1
200,2.50099855876761,-1
0,5.06999580348202,1
-100,6.28100133001863,1
50,5.45500038134924,-1
-300,1.38199958122277,1
0,7.0920000642509,-1
-25,4.52399761522247,1
300,2.19700102186471,-1
150,3.18299976622802,-1
-200,2.87199485742894,1
-50,5.33299483728479,1
25,6.31799431539548,1
100,3.93699416208256,-1
150,3.66799718260881,-1
-200,3.43200087237346,1
0,2.98999529433786,1
100,6.57999820625992,1
-50,7.88000058209582,-1
300,1.38799493956321,-1
0,4.01899970853992,1
25,5.06099339819048,1
-300,1.27199792957981,1
-150,4.37799774194718,1
200,0.962996312504401,-1
50,7.6920015734504,-1
-25,7.82999297368224,-1
-100,8.30800069367979,1
-150,2.96699996292591,1
