pertSize,reactionTime,initialResponse
-150,0.68300560843636,1
200,1.39500353848416,-1
0,3.06299976706214,1
-100,1.07200218069192,1
50,2.43400413882773,-1
-300,0.774005202052649,1
0,6.28299690150743,-1
-25,5.39200624168006,-1
300,3.05100457608205,-1
150,1.74700262737315,-1
-200,0.88600469481753,1
-50,2.71300140762469,1
25,4.56100551926647,1
100,1.37099785148894,-1
150,1.54899796306563,-1
-200,0.749003031254688,1
0,6.46899924933678,1
100,2.20400115561642,-1
-50,3.25199714732298,1
300,1.25099884545489,-1
0,3.95899781549087,-1
25,2.39299737906549,1
-300,1.59600230920478,1
-150,1.87700515031611,1
200,1.09599733257346,-1
50,3.67300269019324,1
-25,5.17700105476251,1
-100,1.516001120086,1
-150,1.59800440549589,1
