pertSize,reactionTime,initialResponse
100,4.1939984542114,-1
25,7.38100251471769,1
-50,3.06199732911773,1
-200,3.50400003779214,1
150,2.27399889707885,-1
300,3.13100049221248,-1
-25,3.99300026953279,1
0,6.34499652194791,1
-300,3.75099814021814,1
50,4.43599982225714,-1
-100,7.07000507759949,1
0,7.87500284862472,-1
200,4.10599664759502,-1
-150,3.77400500595832,1
-100,5.03900016164698,1
-25,5.50299619472207,1
50,7.48999577164795,1
200,3.31600160228845,-1
-150,3.59899514758581,1
-300,3.6030019768441,1
25,4.56899762868852,-1
0,5.73999797856959,-1
300,2.9990016396041,-1
-50,4.88200369096012,1
100,3.29399946331978,-1
0,7.98499925959186,-1
-200,2.79199842512753,1
150,3.41000307285867,-1
100,4.66799726497993,-1
