pertSize,reactionTime,initialResponse
-150,2.55099560833332,1
200,3.20300023853633,-1
0,6.17199414265633,1
-100,3.53999559343356,1
50,5.62199737990159,-1
-300,4.30999421465822,1
0,6.73899330663698,-1
-25,7.79199474203779,-1
300,3.23999497485056,-1
150,4.25899532961921,-1
-200,2.65799770892045,1
-50,6.97799803006637,1
25,2.30899907648563,-1
100,6.67399981320341,-1
150,4.60899381470517,-1
-200,2.69100102448283,1
0,7.95100101137359,-1
100,4.38100286090776,-1
-50,7.34299687504972,1
300,3.07100177645771,-1
0,4.96999749768293,1
25,5.10799958967982,1
-300,2.49299436342699,1
-150,3.6079975339162,1
200,5.13499905478966,-1
50,8.13799506545183,-1
-25,7.76299445808399,1
-100,6.09799833357829,1
-150,3.76399901699915,1
