pertSize,reactionTime,initialResponse
100,4.28099824606761,-1
25,7.75900273966545,1
-50,6.68199755548994,1
-200,3.15199837135879,1
150,4.43599993216776,-1
300,2.98300569342973,-1
-25,3.70100164449104,1
0,3.25300268530555,1
-300,3.50899760341417,1
50,4.90000270735618,-1
-100,3.74200290584122,1
0,7.83300373506063,1
200,3.18100395666988,-1
-150,3.497998592371,1
-100,4.61000340199098,1
-25,7.06700578903838,1
50,5.74499589562038,-1
200,3.31999754261778,-1
-150,4.0790056241749,1
-300,2.78699896692706,1
25,4.37799859988445,-1
0,7.82499701141933,-1
300,3.11599828910403,-1
-50,3.82999978052976,1
100,4.38800240301498,-1
0,7.44499622094008,-1
-200,4.71899807608133,1
150,4.34000337624457,-1
100,4.4840039966075,-1
