pertSize,reactionTime,initialResponse
100,3.13099137353856,-1
25,4.17899224197754,1
-50,2.42199763393,1
-200,1.54399919402204,1
150,0.879998745680496,-1
300,0.96199476539914,-1
-25,2.5319969372722,1
0,3.80999301028351,1
-300,1.55199769794854,1
50,2.15299610173679,-1
-100,1.39599115788587,1
0,5.07999601447227,1
200,1.03399952482869,-1
-150,2.07799095725932,1
-100,2.546993227239,1
-25,4.28099789881526,-1
50,3.34999951707869,-1
200,0.995998710626736,-1
-150,2.18399803733337,1
-300,1.50999147188122,1
25,3.26999891292508,-1
0,3.72799108469189,1
300,2.11399888312735,-1
-50,2.66399812364398,1
100,3.22099848401558,-1
0,3.58300088715623,-1
-200,1.2989952102871,1
150,2.08999166941067,-1
100,3.57599530171865,-1
