pertSize,reactionTime,initialResponse
100,1.77499860346143,-1
25,5.13100314819894,-1
-50,8.21600479173503,-1
-200,1.69899809384515,1
150,2.13899745560047,-1
300,1.23999986362469,-1
-25,5.8709986556787,1
0,3.08200411701546,-1
-300,1.87999549758388,1
50,3.75099860501359,-1
-100,1.5170017867058,1
0,6.0509975317691,-1
200,1.79099702036183,-1
-150,1.6509952622655,1
-100,3.57000009500916,1
-25,4.49800503218285,-1
50,2.35500452637643,-1
200,1.21899764347472,-1
-150,1.45800377404521,1
-300,2.30399602639955,1
25,6.76299670004664,-1
0,6.89199890840246,-1
300,1.15200230312621,-1
-50,3.0659993796362,-1
100,3.28999723542074,-1
0,4.77100055658957,1
-200,2.25299871230527,1
150,2.03199875450082,-1
100,2.20600051081419,-1
