pertSize,reactionTime,initialResponse
-150,2.82900689089729,1
200,2.54999903393036,-1
0,2.84800130462827,1
-100,5.231002635599,1
50,5.04800366664131,-1
-300,3.27899890852132,1
0,3.88100387441955,1
-25,6.28900124740903,-1
300,1.89100418103044,-1
150,5.17900398850907,-1
-200,3.08100187373202,1
-50,5.23999879610346,1
25,3.55000274658232,1
100,4.17299853718578,-1
150,5.24100399434974,-1
-200,2.53100082910532,1
0,4.08200346351077,1
100,6.50700551069167,-1
-50,4.45099862993084,1
300,1.47500463366305,-1
0,3.04000559461565,1
25,4.85900075662357,1
-300,4.24299905741645,1
-150,3.03700432324695,1
200,3.65600571727555,-1
50,5.07300513792143,-1
-25,5.65900327193958,1
-100,6.69900056994084,1
-150,5.3460037131299,1
