pertSize,reactionTime,initialResponse
100,2.71600819993182,-1
25,3.99299864006025,-1
-50,5.48400699353078,-1
-200,1.3790023096808,1
150,1.94200099026784,-1
300,1.54400635277852,-1
-25,3.06100254631019,-1
0,5.53100672733854,1
-300,1.07199936509278,1
50,2.41100098824245,1
-100,3.49100088119303,1
0,4.51999887013517,-1
200,1.91500027954316,-1
-150,2.10599929439923,1
-100,2.39899884605256,1
-25,3.53700586593186,-1
50,1.87399909305532,-1
200,1.18100227403193,-1
-150,1.47200143324881,1
-300,0.954002248407051,1
25,4.12800057160348,-1
0,5.2990069110383,-1
300,1.09200324820995,-1
-50,3.29200151395344,1
100,3.23100503063324,-1
0,3.44700793552329,1
-200,1.25300280666124,1
150,2.06200137161795,-1
100,2.91900330662611,-1
