pertSize,reactionTime,initialResponse
-150,2.50999743807188,1
200,2.94099716353958,-1
0,3.83599664091889,1
-100,2.51200078058173,1
50,4.56400225520338,-1
-300,2.945998264433,1
0,4.19699605715141,1
-25,7.2849964939378,1
300,3.99700463927002,-1
150,4.11600090849242,-1
-200,3.84200540065649,1
-50,3.92899741685687,1
25,6.63000156987255,-1
100,5.06699689305242,-1
150,4.00200477278122,-1
-200,2.65299710571708,1
0,7.89299619841768,-1
100,5.68200474810874,-1
-50,3.61099899697729,1
300,2.90499609101244,-1
0,3.94499811923743,1
25,3.90699820280133,1
-300,3.86700124085473,1
-150,3.75300172245625,1
200,3.02200137293403,-1
50,7.26900448739616,1
-25,3.60100424790289,1
-100,3.6260021387352,1
-150,5.09599610031,1
